provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD INPRES 1 HARIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/346995AB8BE96389B5B4
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD INPRES 2 HARIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1988278752FDB85EDBE2
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD INPRES KULUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/405F2D99C2020B327FAC
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD INPRES PAPERU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65D7337121FB63F74587
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD INPRES PORTO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D548FF47C72F3BCE486
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD INPRES SAPARUA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D2702D083D4965D61D6
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD INPRES SIRI SORI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3ED440464D5B20542B97
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 1 HARIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/736CE5DD3D0AB43E8334
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 1 PORTO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A919F3292529B5E3220
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 1 SAPARUA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8123E71C62247132A19
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 2 HARIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08875078135EF8CB5080
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 2 PORTO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1059E529A0637B23AEAF
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 2 SAPARUA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/29154EC98F346E0A7403
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 3 HARIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D9AA5E6C6DF1B07174A
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 3 PORTHO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E530FFFB212BAF3FEC00
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 3 SAPARUA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F219ABE1705FBFC8001D
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI 4 HARIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3D1ABB068184C89016C5
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI BOOI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BBDF02B38E92ECCBF554
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI KULUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05D2F8E97B009F06C184
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI PAPERU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20BBF442B91451F88918
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD NEGERI SIRI SORI ISLAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/228119AC2F00EA272F36
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SDN IHAMAHU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9D27802920B45AFF7E3
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SDN INPRES IHAMAHU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D4562C677662154C29ED
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD KRISTEN TIOUW,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CAF681B3F619A7BD141B
Prov. Maluku,Kab. Maluku Tengah,Kec. Saparua,SD YPPK HARIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A0CC352BB5C0DAA5898
